Lon,Lat,Station
126.469,26.292,2
127.502,25.416,3
126.899,25.934,4
126.087,26.502,5
124.984,25.934,8
124,25.505,9
123.847,24.861,10
122.844,24.762,11
126.906,27.789,12
127.341,29.006,13
127.507,28.751,14
129.03,28.792,15
129.568,28.959,17
130.906,28.983,18
