EXPOCODE,SECT,CRUISE,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,CTDPRS,CTDPRS_FLAG_W,CTDDPT,CTDDPT_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDTMP_1,CTDTMP_1_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDSAL_1,CTDSAL_1_FLAG_W,CTDCND,CTDCND_FLAG_W,CTDCND_1,CTDCND_1_FLAG_W,CTDOXY_2,CTDOXY_2_FLAG_W,CTDOXY_3,CTDOXY_3_FLAG_W,CTDOXV_2,CTDOXV_2_FLAG_W,CTDOXV_3,CTDOXV_3_FLAG_W,THETA,THETA_FLAG_W,THETA_1,THETA_1_FLAG_W,SIG0,SIG0_FLAG_W,SIG0_1,SIG0_1_FLAG_W,XMISS,XMISS_FLAG_W,XMISSCP,XMISSCP_FLAG_W,XMISSV,XMISSV_FLAG_W,FLUOR,FLUOR_FLAG_W,TURB,TURB_FLAG_W,CDOM,CDOM_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,OXYGEN_1,OXYGEN_1_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,SILCAT,SILCAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,TCARBN,TCARBN_FLAG_W,TCARBN_1,TCARBN_1_FLAG_W,ALKALI,ALKALI_FLAG_W,ALKALI_1,ALKALI_1_FLAG_W,DNSSAL,DNSSAL_FLAG_W,DNSSAL_1,DNSSAL_1_FLAG_W
-,-,-,UTC,UTC,DEG,DEG,M,-,-,-,-,-,DBAR,-,M,-,ITS-90,-,ITS-90,-,PSS-78,-,PSS-78,-,S/m,-,S/m,-,UMOL/KG,-,UMOL/KG,-,V,-,V,-,DEG C,-,DEG C,-,KG/CUM,-,KG/CUM,-,%TRANCE,-,1/M,-,V,-,UG/L,-,FTU,-,UG/L,-,PSS-78,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,G/KG,-,,
A14,A6,A14,A10,A5,F8.4,F9.4,I5,A6,I3,A7,A7,I1,F9.1,I1,F9.1,I1,F9.4,I1,F9.4,I1,F9.4,I1,F9.4,I1,F11.6,I1,F11.6,I1,F9.2,I1,F9.2,I1,F9.4,I1,F9.4,I1,F9.4,I1,F9.4,I1,F9.4,I1,F9.4,I1,F9.3,I1,F9.4,I1,F9.4,I1,F9.3,I1,F9.3,I1,F9.3,I1,F9.4,I1,F9.2,I1,F9.2,I1,F9.2,I1,F9.2,I1,F9.2,I1,F9.3,I1,F9.2,I1,F9.1,I1,F9.1,I1,F9.1,I1,F9.1,I1,F9.4,I1,,
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     29, X12050,2,     50.4,2,     50.1,2,  24.6250,2,  24.6177,2,  34.8849,2,  34.8884,2,   5.254733,2,   5.254438,2,   206.50,2,   206.54,2,   2.5283,2,   2.4752,2,  24.6142,2,  24.6069,2,  23.3709,2,  23.3758,2,   98.147,2,   0.0748,2,   4.6426,2,    0.258,2,    0.081,2,    1.626,2,  34.8855,2,   206.66,2,   206.52,2,0.03,1,0,1,1.25,1,0.037,1,0.02,1,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     28, X12128,2,    101.6,2,    100.9,2,  23.4155,2,  23.4147,2,  34.9782,2,  34.9790,2,   5.143797,2,   5.143815,2,   200.77,2,   200.55,2,   2.4165,2,   2.3667,2,  23.3945,2,  23.3937,2,  23.8027,2,  23.8036,2,   99.206,2,   0.0319,2,   4.6926,2,    0.312,2,    0.043,2,    3.814,2,  34.9796,2,   200.76,2,  -999.00,9,0.51,1,0.22,1,1.55,1,0.081,1,0.03,1,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     27, X12127,2,    101.4,2,    100.8,2,  23.4154,2,  23.4176,2,  34.9784,2,  34.9791,2,   5.143796,2,   5.144128,2,   200.50,2,   200.75,2,   2.4140,2,   2.3687,2,  23.3944,2,  23.3966,2,  23.8029,2,  23.8028,2,   99.217,2,   0.0314,2,   4.6932,2,    0.330,2,    0.043,2,    3.692,2,-999.0000,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9,  -999.00,9,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     26, X12126,2,    101.7,2,    101.0,2,  23.4008,2,  23.4018,2,  34.9766,2,  34.9773,2,   5.142069,2,   5.142272,2,   200.41,2,   200.61,2,   2.4125,2,   2.3668,2,  23.3797,2,  23.3808,2,  23.8059,2,  23.8061,2,   99.249,2,   0.0301,2,   4.6947,2,    0.295,2,    0.046,2,    3.548,2,-999.0000,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9,  -999.00,9,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     25, X12125,2,    101.6,2,    100.9,2,  23.3951,2,  23.4000,2,  34.9764,2,  34.9774,2,   5.141447,2,   5.142086,2,   200.39,2,   200.57,2,   2.4121,2,   2.3664,2,  23.3741,2,  23.3790,2,  23.8073,2,  23.8067,2,   99.270,2,   0.0293,2,   4.6957,2,    0.284,2,    0.045,2,    3.772,2,-999.0000,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9,  -999.00,9,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     24, X12124,2,    202.5,2,    201.1,2,  19.2998,2,  19.3023,2,  34.8864,2,  34.8873,2,   4.715970,2,   4.716329,2,   190.35,2,   190.25,2,   2.1575,2,   2.1232,2,  19.2633,2,  19.2658,2,  24.8669,2,  24.8669,2,   99.775,2,   0.0090,2,   4.7196,2,    0.046,2,    0.029,2,    4.869,2,  34.8858,2,   190.33,2,   190.19,2,3.81,1,0.01,1,3.19,1,0.279,1,0.02,1,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     23, X12123,2,    403.3,2,    400.3,2,  14.0205,2,  14.0189,2,  34.4883,2,  34.4896,2,   4.158477,2,   4.158459,2,   178.62,2,   178.66,2,   1.8598,2,   1.8377,2,  13.9620,2,  13.9604,2,  25.7996,2,  25.8009,2,   99.955,2,   0.0018,2,   4.7280,2,    0.039,2,    0.025,2,    6.408,2,  34.4886,2,   178.84,2,  -999.00,9,12.13,1,0.01,1,13.95,1,0.849,1,0.01,1,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     22, X12122,2,    504.6,2,    500.7,2,  11.0832,2,  11.0842,2,  34.3372,2,  34.3378,2,   3.867677,2,   3.867828,2,   151.34,2,   151.27,2,   1.5663,2,   1.5468,2,  11.0203,2,  11.0212,2,  26.2557,2,  26.2560,2,   99.963,2,   0.0015,2,   4.7284,2,    0.042,2,    0.026,2,    6.309,2,  34.3382,2,   151.55,2,  -999.00,9,19.55,1,0,1,29.75,1,1.395,1,0.03,1,   2147.0,1,   -999.0,9,   2276.9,1,   -999.0,9,  34.5102,2,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     21, X12121,2,    504.3,2,    500.4,2,  11.1322,2,  11.1260,2,  34.3392,2,  34.3401,2,   3.872462,2,   3.871983,2,   151.09,2,   151.13,2,   1.5658,2,   1.5468,2,  11.0692,2,  11.0630,2,  26.2484,2,  26.2503,2,   99.968,2,   0.0013,2,   4.7287,2,    0.042,2,    0.023,2,    6.589,2,-999.0000,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9,  -999.00,9,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     20, X12120,2,    504.3,2,    500.4,2,  11.1278,2,  11.1256,2,  34.3387,2,  34.3398,2,   3.872006,2,   3.871910,2,   151.19,2,   151.24,2,   1.5664,2,   1.5476,2,  11.0648,2,  11.0626,2,  26.2489,2,  26.2501,2,   99.973,2,   0.0011,2,   4.7289,2,    0.042,2,    0.024,2,    6.754,2,-999.0000,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9,  -999.00,9,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
