ID,UPDATE TIME,TCARBN,TCARBN_FLAG_W,TCARBN_1,TCARBN_1_FLAG_W
-,,UMOL/KG,-,UMOL/KG,-
A14,A12,F9.1,I1,F9.1,I1
MR1703C1600108,201709261500,   -999.0,9,   -999.0,9
MR1703C1600107,201709261500,   -999.0,9,   -999.0,9
MR1703C1600106,201709261500,   -999.0,9,   -999.0,9
MR1703C1600105,201709261500,   -999.0,9,   -999.0,9
MR1703C1600104,201709261500,   -999.0,9,   -999.0,9
MR1703C1600103,201709261500,   -999.0,9,   -999.0,9
MR1703C1600102,201709261500,   2283.7,1,   -999.0,9
MR1703C1600101,201709261500,   -999.0,9,   -999.0,9
MR1703C1400100,201709261500,   -999.0,9,   -999.0,9
MR1703C1400136,201709261500,   -999.0,9,   -999.0,9
MR1703C1400135,201709261500,   -999.0,9,   -999.0,9
MR1703C1400134,201709261500,   -999.0,9,   -999.0,9
MR1703C1400133,201709261500,   -999.0,9,   -999.0,9
MR1703C1400132,201709261500,   -999.0,9,   -999.0,9
MR1703C1400131,201709261500,   -999.0,9,   -999.0,9
MR1703C1400130,201709261500,   -999.0,9,   -999.0,9
MR1703C1400129,201709261500,   -999.0,9,   -999.0,9
MR1703C1400128,201709261500,   -999.0,9,   -999.0,9
MR1703C1400127,201709261500,   2040.4,1,   -999.0,9
MR1703C1400126,201709261500,   2165.7,1,   -999.0,9
MR1703C1400125,201709261500,   2227.7,1,   -999.0,9
MR1703C1400124,201709261500,   2285.4,1,   -999.0,9
MR1703C1400123,201709261500,   2288.9,1,   -999.0,9
MR1703C1400122,201709261500,   2291.3,1,   -999.0,9
MR1703C1400121,201709261500,   2295.3,1,   -999.0,9
MR1703C1400120,201709261500,   2297.3,1,   -999.0,9
MR1703C1400119,201709261500,   2299.0,1,   -999.0,9
MR1703C1400118,201709261500,   2301.9,1,   -999.0,9
MR1703C1400117,201709261500,   2305.5,1,   -999.0,9
MR1703C1400116,201709261500,   2305.4,1,   -999.0,9
MR1703C1400115,201709261500,   2308.4,1,   -999.0,9
MR1703C1400114,201709261500,   2308.9,1,   -999.0,9
MR1703C1400113,201709261500,   2311.6,1,   -999.0,9
MR1703C1400112,201709261500,   2311.1,1,   -999.0,9
MR1703C1400111,201709261500,   2312.6,1,   -999.0,9
MR1703C1400110,201709261500,   2312.8,1,   -999.0,9
MR1703C1400109,201709261500,   2314.5,1,   -999.0,9
MR1703C1400108,201709261500,   2315.3,1,   -999.0,9
MR1703C1400107,201709261500,   2315.4,1,   -999.0,9
MR1703C1400106,201709261500,   2315.3,1,   -999.0,9
MR1703C1400105,201709261500,   -999.0,9,   -999.0,9
MR1703C1400104,201709261500,   -999.0,9,   -999.0,9
MR1703C1400103,201709261500,   -999.0,9,   -999.0,9
MR1703C1400102,201709261500,   2317.3,1,   -999.0,9
MR1703C1400101,201709261500,   -999.0,9,   -999.0,9
MR1703C1500100,201709261500,   -999.0,9,   -999.0,9
MR1703C1500136,201709261500,   -999.0,9,   -999.0,9
MR1703C1500135,201709261500,   -999.0,9,   -999.0,9
MR1703C1500134,201709261500,   -999.0,9,   -999.0,9
MR1703C1500133,201709261500,   -999.0,9,   -999.0,9
MR1703C1500132,201709261500,   -999.0,9,   -999.0,9
MR1703C1500131,201709261500,   -999.0,9,   -999.0,9
MR1703C1500130,201709261500,   -999.0,9,   -999.0,9
MR1703C1500129,201709261500,   -999.0,9,   -999.0,9
MR1703C1500128,201709261500,   -999.0,9,   -999.0,9
MR1703C1500127,201709261500,   2081.4,1,   -999.0,9
MR1703C1500126,201709261500,   2092.5,1,   -999.0,9
MR1703C1500125,201709261500,   2100.5,1,   -999.0,9
MR1703C1500124,201709261500,   2108.2,1,   -999.0,9
MR1703C1500123,201709261500,   2112.0,1,   -999.0,9
MR1703C1500122,201709261500,   2114.1,1,   -999.0,9
MR1703C1500121,201709261500,   2115.3,1,   -999.0,9
MR1703C1500120,201709261500,   2118.9,1,   -999.0,9
MR1703C1500119,201709261500,   2118.5,1,   -999.0,9
MR1703C1500118,201709261500,   2119.3,1,   -999.0,9
MR1703C1500117,201709261500,   2120.2,1,   -999.0,9
MR1703C1500116,201709261500,   2122.4,1,   -999.0,9
MR1703C1500115,201709261500,   2122.3,1,   -999.0,9
MR1703C1500114,201709261500,   2121.1,1,   -999.0,9
MR1703C1500113,201709261500,   2122.9,1,   -999.0,9
MR1703C1500112,201709261500,   2123.2,1,   -999.0,9
MR1703C1500111,201709261500,   2123.8,1,   -999.0,9
MR1703C1500110,201709261500,   2122.2,1,   -999.0,9
MR1703C1500109,201709261500,   2123.4,1,   -999.0,9
MR1703C1500108,201709261500,   2121.9,1,   -999.0,9
MR1703C1500107,201709261500,   2124.7,1,   -999.0,9
MR1703C1500106,201709261500,   2123.8,1,   -999.0,9
MR1703C1500105,201709261500,   -999.0,9,   -999.0,9
MR1703C1500104,201709261500,   -999.0,9,   -999.0,9
MR1703C1500103,201709261500,   -999.0,9,   -999.0,9
MR1703C1500102,201709261500,   2126.6,1,   -999.0,9
MR1703C1500101,201709261500,   -999.0,9,   -999.0,9
MR1703C0100100,201709261500,   -999.0,9,   -999.0,9
MR1703C0100136,201709261500,   -999.0,9,   -999.0,9
MR1703C0100135,201709261500,   -999.0,9,   -999.0,9
MR1703C0100134,201709261500,   -999.0,9,   -999.0,9
MR1703C0100133,201709261500,   -999.0,9,   -999.0,9
MR1703C0100132,201709261500,   -999.0,9,   -999.0,9
MR1703C0100131,201709261500,   -999.0,9,   -999.0,9
MR1703C0100130,201709261500,   -999.0,9,   -999.0,9
MR1703C0100129,201709261500,   -999.0,9,   -999.0,9
MR1703C0100128,201709261500,   -999.0,9,   -999.0,9
MR1703C0100127,201709261500,   -999.0,9,   -999.0,9
MR1703C0100126,201709261500,   -999.0,9,   -999.0,9
